"Statistic Label","Year","Type of Meat","UNIT","VALUE"
"Self Sufficiency in Meat Products","2012","Sheep meat","%","289"
"Self Sufficiency in Meat Products","2012","Poultry meat","%","95"
"Self Sufficiency in Meat Products","2013","Total Meat","%","260"
"Self Sufficiency in Meat Products","2013","Beef and veal","%","634"
"Self Sufficiency in Meat Products","2013","Pig meat","%","204"
"Self Sufficiency in Meat Products","2013","Sheep meat","%","333"
"Self Sufficiency in Meat Products","2013","Poultry meat","%","82"
"Self Sufficiency in Meat Products","2014","Total Meat","%","278"
"Self Sufficiency in Meat Products","2014","Beef and veal","%","705"
"Self Sufficiency in Meat Products","2014","Pig meat","%","203"
"Self Sufficiency in Meat Products","2014","Sheep meat","%","322"
"Self Sufficiency in Meat Products","2014","Poultry meat","%","84"
"Self Sufficiency in Meat Products","2015","Total Meat","%","276"
"Self Sufficiency in Meat Products","2015","Beef and veal","%","677"
"Self Sufficiency in Meat Products","2015","Pig meat","%","224"
"Self Sufficiency in Meat Products","2015","Sheep meat","%","335"
"Self Sufficiency in Meat Products","2015","Poultry meat","%","86"
"Self Sufficiency in Meat Products","2016","Total Meat","%","269"
"Self Sufficiency in Meat Products","2016","Beef and veal","%","679"
"Self Sufficiency in Meat Products","2016","Pig meat","%","219"
"Self Sufficiency in Meat Products","2016","Sheep meat","%","352"
"Self Sufficiency in Meat Products","2016","Poultry meat","%","87"
"Self Sufficiency in Meat Products","2017","Total Meat","%","279.8725065"
"Self Sufficiency in Meat Products","2017","Beef and veal","%","676.9220056"
"Self Sufficiency in Meat Products","2017","Pig meat","%","223.6824832"
"Self Sufficiency in Meat Products","2017","Sheep meat","%","358.1322276"
"Self Sufficiency in Meat Products","2017","Poultry meat","%","93.37679782"
"Self Sufficiency in Meat Products","2018","Total Meat","%","274.6776401"
"Self Sufficiency in Meat Products","2018","Beef and veal","%","680.7120785"
"Self Sufficiency in Meat Products","2018","Pig meat","%","229.5749489"
"Self Sufficiency in Meat Products","2018","Sheep meat","%","318.8004941"
"Self Sufficiency in Meat Products","2018","Poultry meat","%","89.1780065"
"Self Sufficiency in Meat Products","2019","Total Meat","%","273.4585525"
"Self Sufficiency in Meat Products","2019","Beef and veal","%","680.8609059"
"Self Sufficiency in Meat Products","2019","Pig meat","%","218.0215893"
"Self Sufficiency in Meat Products","2019","Sheep meat","%","311.4617899"
"Self Sufficiency in Meat Products","2019","Poultry meat","%","95.9153614"
"Self Sufficiency in Meat Products","2020","Total Meat","%","286.2122253"
"Self Sufficiency in Meat Products","2020","Beef and veal","%","712.384736"
"Self Sufficiency in Meat Products","2020","Pig meat","%","232.0038644"
"Self Sufficiency in Meat Products","2020","Sheep meat","%","358.319845"
"Self Sufficiency in Meat Products","2020","Poultry meat","%","100.3525295"
"Self Sufficiency in Meat Products","2021","Total Meat","%","267.2306683"
"Self Sufficiency in Meat Products","2021","Beef and veal","%","661.3667103"
"Self Sufficiency in Meat Products","2021","Pig meat","%","239.7491265"
"Self Sufficiency in Meat Products","2021","Sheep meat","%","361.2761152"
"Self Sufficiency in Meat Products","2021","Poultry meat","%","90.0804645"
