"Statistic Label","Year","Type of Meat","UNIT","VALUE"
"Meat Imports","2019","Pig meat","000 Tonnes","108.6364"
"Meat Imports","2019","Sheep meat","000 Tonnes","7.2164"
"Meat Imports","2019","Poultry meat","000 Tonnes","143.6134"
"Meat Imports","2020","Total Meat","000 Tonnes","264.0116"
"Meat Imports","2020","Beef and veal","000 Tonnes","34.645"
"Meat Imports","2020","Pig meat","000 Tonnes","94.2138"
"Meat Imports","2020","Sheep meat","000 Tonnes","6.9657"
"Meat Imports","2020","Poultry meat","000 Tonnes","128.1871"
"Meat Imports","2021","Total Meat","000 Tonnes","254.0875"
"Meat Imports","2021","Beef and veal","000 Tonnes","41.9973"
"Meat Imports","2021","Pig meat","000 Tonnes","85.8658"
"Meat Imports","2021","Sheep meat","000 Tonnes","6.5709"
"Meat Imports","2021","Poultry meat","000 Tonnes","119.6535"
"Supplies = Uses of Meat Products","2012","Total Meat","000 Tonnes","1170"
"Supplies = Uses of Meat Products","2012","Beef and veal","000 Tonnes","547"
"Supplies = Uses of Meat Products","2012","Pig meat","000 Tonnes","329"
"Supplies = Uses of Meat Products","2012","Sheep meat","000 Tonnes","58"
"Supplies = Uses of Meat Products","2012","Poultry meat","000 Tonnes","236"
"Supplies = Uses of Meat Products","2013","Total Meat","000 Tonnes","1194"
"Supplies = Uses of Meat Products","2013","Beef and veal","000 Tonnes","552"
"Supplies = Uses of Meat Products","2013","Pig meat","000 Tonnes","345"
"Supplies = Uses of Meat Products","2013","Sheep meat","000 Tonnes","63"
"Supplies = Uses of Meat Products","2013","Poultry meat","000 Tonnes","234"
"Supplies = Uses of Meat Products","2014","Total Meat","000 Tonnes","1280"
"Supplies = Uses of Meat Products","2014","Beef and veal","000 Tonnes","612"
"Supplies = Uses of Meat Products","2014","Pig meat","000 Tonnes","360"
"Supplies = Uses of Meat Products","2014","Sheep meat","000 Tonnes","63"
"Supplies = Uses of Meat Products","2014","Poultry meat","000 Tonnes","245"
"Supplies = Uses of Meat Products","2015","Total Meat","000 Tonnes","1306"
"Supplies = Uses of Meat Products","2015","Beef and veal","000 Tonnes","598"
"Supplies = Uses of Meat Products","2015","Pig meat","000 Tonnes","382"
"Supplies = Uses of Meat Products","2015","Sheep meat","000 Tonnes","64"
"Supplies = Uses of Meat Products","2015","Poultry meat","000 Tonnes","262"
"Supplies = Uses of Meat Products","2016","Total Meat","000 Tonnes","1367"
"Supplies = Uses of Meat Products","2016","Beef and veal","000 Tonnes","626"
"Supplies = Uses of Meat Products","2016","Pig meat","000 Tonnes","389"
"Supplies = Uses of Meat Products","2016","Sheep meat","000 Tonnes","66"
"Supplies = Uses of Meat Products","2016","Poultry meat","000 Tonnes","287"
"Supplies = Uses of Meat Products","2017","Total Meat","000 Tonnes","1422.966217"
"Supplies = Uses of Meat Products","2017","Beef and veal","000 Tonnes","650.9315834"
"Supplies = Uses of Meat Products","2017","Pig meat","000 Tonnes","409.5036507"
"Supplies = Uses of Meat Products","2017","Sheep meat","000 Tonnes","73.02892055"
"Supplies = Uses of Meat Products","2017","Poultry meat","000 Tonnes","289.5020623"
"Supplies = Uses of Meat Products","2018","Total Meat","000 Tonnes","1466.305611"
"Supplies = Uses of Meat Products","2018","Beef and veal","000 Tonnes","663.3231705"
"Supplies = Uses of Meat Products","2018","Pig meat","000 Tonnes","426.9382999"
"Supplies = Uses of Meat Products","2018","Sheep meat","000 Tonnes","74.34589263"
"Supplies = Uses of Meat Products","2018","Poultry meat","000 Tonnes","301.6982475"
"Supplies = Uses of Meat Products","2019","Total Meat","000 Tonnes","1452.973631"
"Supplies = Uses of Meat Products","2019","Beef and veal","000 Tonnes","656.0454"
"Supplies = Uses of Meat Products","2019","Pig meat","000 Tonnes","413.0050992"
"Supplies = Uses of Meat Products","2019","Sheep meat","000 Tonnes","73.2543"
"Supplies = Uses of Meat Products","2019","Poultry meat","000 Tonnes","310.6688317"
"Supplies = Uses of Meat Products","2020","Total Meat","000 Tonnes","1460.525563"
"Supplies = Uses of Meat Products","2020","Beef and veal","000 Tonnes","668.0213"
"Supplies = Uses of Meat Products","2020","Pig meat","000 Tonnes","414.3437"
"Supplies = Uses of Meat Products","2020","Sheep meat","000 Tonnes","73.197"
"Supplies = Uses of Meat Products","2020","Poultry meat","000 Tonnes","304.9635632"
"Supplies = Uses of Meat Products","2021","Total Meat","000 Tonnes","1423.142378"
"Supplies = Uses of Meat Products","2021","Beef and veal","000 Tonnes","636.5027"
"Supplies = Uses of Meat Products","2021","Pig meat","000 Tonnes","420.999"
"Supplies = Uses of Meat Products","2021","Sheep meat","000 Tonnes","70.0033"
"Supplies = Uses of Meat Products","2021","Poultry meat","000 Tonnes","295.6373784"
"Meat Exports","2012","Total Meat","000 Tonnes","800"
"Meat Exports","2012","Beef and veal","000 Tonnes","458"
"Meat Exports","2012","Pig meat","000 Tonnes","203"
"Meat Exports","2012","Sheep meat","000 Tonnes","42"
"Meat Exports","2012","Poultry meat","000 Tonnes","96"
"Meat Exports","2013","Total Meat","000 Tonnes","804"
"Meat Exports","2013","Beef and veal","000 Tonnes","465"
"Meat Exports","2013","Pig meat","000 Tonnes","200"
"Meat Exports","2013","Sheep meat","000 Tonnes","48"
"Meat Exports","2013","Poultry meat","000 Tonnes","91"
"Meat Exports","2014","Total Meat","000 Tonnes","886"
"Meat Exports","2014","Beef and veal","000 Tonnes","524"
"Meat Exports","2014","Pig meat","000 Tonnes","209"
"Meat Exports","2014","Sheep meat","000 Tonnes","47"
"Meat Exports","2014","Poultry meat","000 Tonnes","106"
"Meat Exports","2015","Total Meat","000 Tonnes","907"
"Meat Exports","2015","Beef and veal","000 Tonnes","511"
"Meat Exports","2015","Pig meat","000 Tonnes","235"
"Meat Exports","2015","Sheep meat","000 Tonnes","48"
"Meat Exports","2015","Poultry meat","000 Tonnes","113"
"Meat Exports","2016","Total Meat","000 Tonnes","948"
"Meat Exports","2016","Beef and veal","000 Tonnes","537"
"Meat Exports","2016","Pig meat","000 Tonnes","241"
"Meat Exports","2016","Sheep meat","000 Tonnes","51"
"Meat Exports","2016","Poultry meat","000 Tonnes","120"
"Meat Exports","2017","Total Meat","000 Tonnes","1000.444528"
"Meat Exports","2017","Beef and veal","000 Tonnes","556.4414698"
"Meat Exports","2017","Pig meat","000 Tonnes","260.5449507"
"Meat Exports","2017","Sheep meat","000 Tonnes","56.97990739"
"Meat Exports","2017","Poultry meat","000 Tonnes","126.4782"
"Meat Exports","2018","Total Meat","000 Tonnes","1027.446424"
"Meat Exports","2018","Beef and veal","000 Tonnes","568.3231705"
"Meat Exports","2018","Pig meat","000 Tonnes","277.0199"
"Meat Exports","2018","Sheep meat","000 Tonnes","56.21005303"
"Meat Exports","2018","Poultry meat","000 Tonnes","125.8933"
"Meat Exports","2019","Total Meat","000 Tonnes","1008.9399"
"Meat Exports","2019","Beef and veal","000 Tonnes","560.5454"
"Meat Exports","2019","Pig meat","000 Tonnes","256.641"
"Meat Exports","2019","Sheep meat","000 Tonnes","55.2543"
"Meat Exports","2019","Poultry meat","000 Tonnes","136.4992"
"Meat Exports","2020","Total Meat","000 Tonnes","1018.0522"
"Meat Exports","2020","Beef and veal","000 Tonnes","574.0213"
"Meat Exports","2020","Pig meat","000 Tonnes","258.0258"
"Meat Exports","2020","Sheep meat","000 Tonnes","57.197"
"Meat Exports","2020","Poultry meat","000 Tonnes","128.8081"
"Meat Exports","2021","Total Meat","000 Tonnes","961.1005"
"Meat Exports","2021","Beef and veal","000 Tonnes","541.5027"
"Meat Exports","2021","Pig meat","000 Tonnes","264.8201"
"Meat Exports","2021","Sheep meat","000 Tonnes","54.5033"
"Meat Exports","2021","Poultry meat","000 Tonnes","100.2744"
"Variation in Meat Stocks","2012","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2012","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2012","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2012","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2012","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2013","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2013","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2013","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2013","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2013","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2014","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2014","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2014","Pig meat","000 Tonnes","0"
"Variation in Meat Stocks","2014","Sheep meat","000 Tonnes","0"
"Variation in Meat Stocks","2014","Poultry meat","000 Tonnes","0"
"Variation in Meat Stocks","2015","Total Meat","000 Tonnes","0"
"Variation in Meat Stocks","2015","Beef and veal","000 Tonnes","0"
"Variation in Meat Stocks","2015","Pig meat","000 Tonnes","0"
